id,title,description,image_url,tags,role,demo_link,github_link,hide_github_link,hide_image_overlay,case_problem,case_solution,case_result,active,sort_order,repo_name,created_at,updated_at
05d650c4-42c8-4617-9f0e-223fcfaf59dc,NexusFlow - Gestão Empresarial Unificada,"Plataforma de demonstração de ERP modular: shell React com rotas protegidas, sidebar e navbar estilo SaaS, estado local persistido (Zustand + localStorage) e módulos de domínio (vendas, estoque, RH, calendário, fiscal, projetos). Integra microfrontends por iframe — Financeiro (Vite/React, porta 3001) e Kanban/Projetos. Autenticação e cadastro no cliente até plugar API; dashboard com KPIs e gráficos derivados dos dados cadastrados pelo usuário.",https://nygzppigohwxdueahvgt.supabase.co/storage/v1/object/public/portfolio/portfolio/media/1775510672003-nexus-flow.png,"[""React"",""TypeScript"",""Vite"",""React Router"",""Tailwind CSS"",""SaaS"",""ERP""]",Front-end / arquitetura de shell,,https://github.com/Brun05ouza/nexus-flow-web,false,false,,,,true,5,,2026-04-06 21:27:11.442076+00,2026-04-07 11:41:03.78+00
08e05c0e-07c5-4644-b679-c5173f920177,Creator Tools,"SaaS de ferramentas online para criadores de conteúdo: edição de imagens, PDF, QR Code, links, vídeo e mídia. ",https://nygzppigohwxdueahvgt.supabase.co/storage/v1/object/public/portfolio/portfolio/media/1775561673699-creator-tools-main-principal.png,"[""Python"",""React"",""TypeScript""]",Front-end,,https://github.com/Brun05ouza/Creator-Tools,false,false,,,,true,3,,2026-04-07 11:35:35.708506+00,2026-04-07 11:35:37.115+00
35acdef7-bccc-48f7-a810-35110dcc97d5,Terêlife,"Serviço de emergências médicas 24h com atendimento rápido, seguro e humanizado. A Terê Life oferece remoções, suporte domiciliar e transporte em ambulâncias modernas, garantindo cuidado e agilidade em momentos críticos.",https://nygzppigohwxdueahvgt.supabase.co/storage/v1/object/public/portfolio/portfolio/media/1776295850167-terelife.png,"[""React"",""TypeScript""]",Front-end,https://terelife.com.br/,,false,false,,,,true,6,,2026-04-15 23:31:22.764615+00,2026-04-15 23:36:22.549+00
3b6987d6-afc2-4d57-9b00-10475cd3b16c,Solar Bellavista,"O Solar Bellavista é um empreendimento residencial em Teresópolis, no bairro Meudon, que oferece apartamentos de 2 quartos com plantas compactas e funcionais, voltados para quem busca conforto e qualidade de vida, com lazer completo — incluindo piscina, academia, quadra e áreas de convivência — além de boa localização próxima a comércios e serviços, sendo também uma opção acessível com possibilidade de financiamento.",https://nygzppigohwxdueahvgt.supabase.co/storage/v1/object/public/portfolio/portfolio/media/1776887666307-solarbellavista.png,"[""React"",""TypeScript"",""Neon"",""Supabase""]","Front-end, Back-end",https://solarbellavista.com.br/,,false,false,,,,true,4,residencial-nature,2026-04-22 19:58:01.441411+00,2026-04-22 19:58:41.847+00
44a8368a-0476-4882-b6e1-33f1872d63e3,Cosmico II - Next,Site institucional focado na demostração de planetas e galaxias usando a interação completa do scroll do mouse,https://nygzppigohwxdueahvgt.supabase.co/storage/v1/object/public/portfolio/portfolio/media/1776434660198-Comico_ii.png,"[""Next"",""Typescript""]",Front-end,https://cosmos-next-taupe.vercel.app/,https://github.com/Brun05ouza/cosmos-next,false,false,,,,true,8,,2026-04-17 14:05:01.856113+00,2026-04-17 14:05:02.476+00
50c0c784-fc6f-4b79-8a81-88a7bb65c62b,"Oásis II - Residencial ","Oásis II – Residencial é a landing page oficial do empreendimento: apresentação do conceito, áreas de lazer (incluindo Espaço Gourmet), galeria de imagens, plantas humanizadas, tour 360°, mapa de localização em Nova Iguaçu e formulário de contato integrado. Experiência pensada para pré-lançamento, com destaque para WhatsApp e navegação fluida em desktop e mobile.",https://nygzppigohwxdueahvgt.supabase.co/storage/v1/object/public/portfolio/portfolio/media/1775511042285-oasis-2.png,"[""React"",""JavaScript"",""Design System""]",Front-end,https://oasis2.com.br,,false,false,,,,true,2,residencial-nature,2026-04-06 21:31:26.976859+00,2026-04-06 21:33:35.767+00
d9683650-d126-4f51-b383-0f5b2531680e,"Flow Residencial ","O Flow Residencial é um empreendimento imobiliário moderno em Teresópolis que oferece apartamentos compactos e funcionais, pensados para quem busca praticidade, conforto e um estilo de vida contemporâneo, com áreas comuns como coworking, academia e espaços de convivência que valorizam a experiência de morar bem ou investir.",https://nygzppigohwxdueahvgt.supabase.co/storage/v1/object/public/portfolio/portfolio/media/1776887471047-flow.png,"[""React"",""TypeScript"",""Neon"",""Supabase""]","Front-end, Back-end",https://flowresidencial.com.br/,,false,false,,,,true,3,residencial-nature,2026-04-22 19:52:31.518672+00,2026-04-22 19:53:04.552+00
da77c75c-4434-45af-8dfa-412e02cffd59,Fluxo - Saas de Controle Financeiro,"Fluxo é um aplicativo web de controle financeiro pessoal (receitas, despesas, contas e orçamentos), construído com React, Vite e Supabase para autenticação e banco de dados. O foco é registrar e organizar lançamentos, acompanhar saldos por conta, usar orçamentos e relatórios, importar extratos e evoluir para um modelo mais completo (cartões, faturas, planejamento e metas), sempre com identidade e fluxo próprios.",https://nygzppigohwxdueahvgt.supabase.co/storage/v1/object/public/portfolio/portfolio/media/1775562055944-fluxo-main-principal.png,"[""React"",""Vite"",""Supabase""]",Front-End e Back-End,https://fluxo-ebon.vercel.app/,,false,false,,,,true,4,,2026-04-07 11:40:56.336043+00,2026-04-07 11:40:57.944+00
e7d37c2e-b9c7-49b4-9862-e9da323e13c4,"Nature Residencial ","O Nature Residencial é um empreendimento da Genesis Empreendimentos, no qual fui responsável pelo desenvolvimento completo do projeto, abrangendo desde a concepção estrutural até o design principal.",https://nygzppigohwxdueahvgt.supabase.co/storage/v1/object/public/portfolio/portfolio/media/1775506266513-nature_main_principal.png,"[""React"",""TypeScript"",""Responsivo""]",Front-end / Design,https://residencialnature.com.br,,false,false,,,,true,1,residencial-nature,2026-04-06 20:17:22.082682+00,2026-04-06 20:43:24.231+00
ec83c6cd-b08c-4449-883f-ec2eb3c6446a,Cósmico - Setor de Observação Alta,"Landing page interativa com temática espacial, explorando planetas de forma visual e imersiva. O projeto apresenta animações suaves, design moderno e foco em experiência do usuário, criando uma navegação envolvente inspirada no universo.",https://nygzppigohwxdueahvgt.supabase.co/storage/v1/object/public/portfolio/portfolio/media/1776298413645-Captura_de_tela_2026-04-15_211319.png,"[""Next.js"",""TypeScript""]",Front-end,https://cosmico-planets-lp.vercel.app/,https://github.com/Brun05ouza/cosmico-planets-lp,false,false,,,,true,7,,2026-04-16 00:15:20.772188+00,2026-04-16 00:15:20.273+00